timestamp,x,y,z
0,-1.32,-1.91,9.56
10,-1.25,-1.88,9.78
20,-1.21,-1.87,9.91
30,-1.14,-1.88,9.92
40,-1.09,-1.9,9.78
50,-1.06,-1.94,9.49
60,-1.08,-1.97,9.21
70,-1.12,-1.97,9.02
80,-1.14,-2.02,8.95
90,-1.11,-1.98,9.02
100,-1.07,-1.96,9.16
110,-1.11,-1.9,9.28
120,-1.13,-1.88,9.31
130,-1.27,-1.85,9.24
140,-1.45,-1.82,9.09
150,-1.67,-1.83,9.0
160,-1.77,-1.84,9.02
170,-1.73,-1.79,9.17
180,-1.59,-1.76,9.25
190,-1.5,-1.78,9.33
200,-1.37,-1.82,9.37
210,-1.28,-1.85,9.45
220,-1.19,-1.86,9.44
230,-1.13,-1.91,9.46
240,-1.11,-1.87,9.47
250,-1.16,-1.86,9.51
260,-1.25,-1.83,9.57
270,-1.31,-1.79,9.66
280,-1.37,-1.75,9.78
290,-1.36,-1.75,9.84
300,-1.39,-1.75,9.84
310,-1.37,-1.75,9.71
320,-1.36,-1.76,9.52
330,-1.37,-1.81,9.31
340,-1.37,-1.76,9.22
350,-1.39,-1.76,9.18
360,-1.42,-1.8,9.28
370,-1.32,-1.9,9.19
380,-1.25,-1.65,9.25
390,-1.0,-1.73,9.47
400,-0.87,-1.68,9.78
410,-0.74,-1.63,10.03
420,-0.64,-1.62,10.17
430,-0.62,-1.64,10.25
440,-0.64,-1.61,10.12
450,-0.63,-1.62,9.9
460,-0.66,-1.61,9.64
470,-0.7,-1.61,9.5
480,-0.79,-1.51,9.47
490,-0.81,-1.52,9.52
500,-0.84,-1.48,9.56
510,-0.84,-1.49,9.5
520,-0.92,-1.55,9.31
530,-0.88,-1.54,9.0
540,-0.97,-1.56,8.59
550,-0.84,-1.65,8.47
560,-0.65,-1.61,8.74
570,-0.41,-1.53,9.13
580,1.32,-1.06,12.76
590,4.87,-1.64,14.65
600,2.0,-1.31,12.9
610,0.84,-1.39,12.28
620,-1.36,-1.38,10.08
630,-3.08,-1.64,8.26
640,-3.79,-1.92,7.29
650,-3.89,-2.13,6.7
660,-3.37,-2.26,6.5
670,-2.48,-2.29,6.71
680,-1.86,-2.16,7.53
690,-2.09,-2.07,8.69
700,-2.4,-1.97,9.76
710,-2.57,-1.9,10.28
720,-2.27,-1.98,9.92
730,-2.16,-2.02,9.39
740,-4.62,-1.98,9.89
750,-4.12,-2.01,9.52
760,0.05,-2.89,7.47
770,2.88,-3.26,6.42
780,1.11,-2.86,7.78
790,-0.52,-2.24,9.24
800,-0.89,-2.13,9.98
810,-1.35,-2.01,9.77
820,-1.68,-2.11,9.73
830,-1.73,-1.97,10.27
840,-2.69,-1.62,10.45
850,-2.96,-1.75,9.94
860,-2.5,-1.69,9.47
870,-1.81,-1.83,9.41
880,-1.55,-1.87,9.23
890,-2.04,-1.89,9.11
900,-2.72,-1.83,8.93
910,-2.21,-1.96,9.01
920,-1.6,-1.98,8.87
930,-1.04,-2.07,9.42
940,-1.71,-1.82,10.68
950,-3.68,-1.4,11.14
960,-4.59,-1.44,10.33
970,-4.44,-1.53,8.84
980,-4.09,-1.84,7.67
990,-3.59,-2.12,7.34
1000,-2.5,-1.98,6.96
