timestamp,x,y,z
0,0.06,-2.64,9.69
10,0.14,-2.59,9.83
20,0.27,-2.55,9.91
30,0.29,-2.54,9.9
40,0.26,-2.53,9.69
50,0.24,-2.55,9.62
60,0.27,-2.59,9.53
70,0.42,-2.56,9.55
80,0.57,-2.66,9.54
90,0.74,-2.63,9.48
100,0.78,-2.61,9.46
110,0.77,-2.59,9.33
120,0.71,-2.71,9.18
130,0.56,-2.66,8.91
140,0.3,-2.77,8.69
150,0.03,-2.78,8.59
160,-0.14,-2.74,8.64
170,-0.21,-2.7,8.74
180,-0.4,-2.7,8.87
190,-0.52,-2.64,9.06
200,-0.58,-2.65,9.27
210,-0.62,-2.62,9.44
220,-0.59,-2.6,9.56
230,-0.51,-2.68,9.53
240,-0.46,-2.58,9.44
250,-0.38,-2.7,9.36
260,-0.26,-2.71,9.33
270,-0.12,-2.68,9.36
280,-0.02,-2.71,9.44
290,0.09,-2.74,9.43
300,0.22,-2.74,9.4
310,0.3,-2.71,9.45
320,0.35,-2.8,9.44
330,0.39,-2.79,9.39
340,0.39,-2.81,9.27
350,0.32,-2.79,9.11
360,0.22,-2.81,9.07
370,0.12,-2.78,9.07
380,0.08,-2.76,9.17
390,0.11,-2.68,9.25
400,0.06,-2.62,9.31
410,0.01,-2.69,9.29
420,0.05,-2.64,9.29
430,0.17,-2.58,9.38
440,0.28,-2.6,9.48
450,0.45,-2.59,9.48
460,0.48,-2.57,9.46
470,0.36,-2.62,9.37
480,0.14,-2.58,9.21
490,-0.17,-2.54,9.0
500,-0.47,-2.46,8.84
510,-0.67,-2.42,8.77
520,-0.78,-2.38,8.83
530,-0.68,-2.4,8.87
540,-0.52,-2.3,8.84
550,-0.5,-2.21,8.65
560,0.31,-1.99,11.14
570,2.43,-1.88,15.4
580,0.85,-2.04,13.36
590,-5.1,-1.46,16.62
600,-4.71,-1.03,13.8
610,-3.17,-1.99,10.19
620,-4.27,-2.15,7.97
630,-8.92,-2.19,4.31
640,2.99,-7.47,-4.36
650,8.22,-5.92,3.6
660,10.87,-5.46,8.71
670,4.48,-5.33,10.12
680,-2.06,-2.31,10.53
690,-1.99,-3.01,10.01
700,-2.72,-4.42,9.66
710,-2.79,-3.3,8.7
720,-0.79,-3.29,8.15
730,0.92,-2.95,8.6
740,2.28,-2.35,8.72
750,4.36,-2.67,7.75
760,4.66,-2.9,7.1
770,2.15,-3.25,7.8
780,-0.25,-3.38,8.33
790,0.28,-3.2,8.17
800,0.98,-2.89,8.31
810,1.61,-2.13,8.81
820,3.03,-1.76,9.05
830,4.77,-1.63,8.75
840,4.41,-1.7,8.95
850,3.8,-1.77,9.39
860,3.58,-1.79,9.25
870,4.12,-1.69,8.94
880,5.3,-1.7,8.43
890,5.78,-1.44,8.43
900,6.03,-1.16,8.34
910,6.43,-1.33,8.36
920,4.98,-0.73,9.17
930,5.4,-0.34,9.53
940,7.02,0.15,9.37
950,8.52,-0.03,9.25
960,9.49,0.33,10.1
970,10.4,0.68,10.72
980,10.06,1.15,11.57
990,9.93,1.27,10.92
1000,9.76,1.47,10.46
