timestamp,x,y,z
0,-0.13,-0.99,10.33
10,-0.23,-0.93,10.31
20,-0.15,-0.92,10.31
30,0.06,-0.98,10.24
40,0.26,-1.04,10.12
50,0.33,-1.06,10.02
60,0.41,-1.09,10.02
70,0.36,-1.13,10.01
80,0.27,-1.09,9.94
90,0.25,-1.13,9.88
100,0.26,-1.19,9.77
110,0.25,-1.24,9.7
120,0.26,-1.34,9.57
130,0.27,-1.43,9.37
140,0.19,-1.53,9.04
150,0.03,-1.5,8.81
160,-0.16,-1.45,8.84
170,-0.33,-1.4,9.0
180,-0.35,-1.36,9.1
190,-0.27,-1.38,9.18
200,-0.16,-1.4,9.35
210,-0.07,-1.41,9.53
220,-0.01,-1.42,9.52
230,-0.07,-1.44,9.42
240,-0.05,-1.51,9.31
250,0.34,-1.62,9.36
260,0.64,-1.58,9.5
270,0.49,-1.46,9.67
280,0.18,-1.39,9.84
290,0.1,-1.36,10.04
300,0.41,-1.33,10.24
310,0.69,-1.31,10.23
320,0.72,-1.34,9.98
330,0.65,-1.39,9.63
340,0.57,-1.46,9.44
350,0.68,-1.48,9.39
360,0.77,-1.45,9.39
370,0.64,-1.4,9.33
380,0.5,-1.36,9.36
390,0.6,-1.32,9.52
400,0.72,-1.29,9.74
410,0.86,-1.25,9.84
420,0.85,-1.25,9.92
430,0.82,-1.2,10.02
440,0.73,-1.19,10.04
450,0.56,-1.14,10.02
460,0.4,-1.14,9.83
470,0.45,-1.2,9.67
480,0.54,-1.21,9.52
490,0.45,-1.15,9.75
500,0.56,-1.13,10.22
510,0.75,-1.19,9.94
520,0.62,-1.26,9.43
530,0.34,-1.25,9.12
540,0.0,-1.24,9.11
550,-0.19,-1.2,9.09
560,-0.16,-1.3,8.71
570,0.13,-1.31,8.74
580,0.42,-1.29,9.25
590,0.49,-1.16,9.87
600,0.48,-1.17,10.08
610,0.51,-1.14,10.02
620,0.31,-1.05,9.9
630,0.21,-1.03,10.22
640,-0.21,-0.82,11.44
650,-0.18,-0.84,10.97
660,0.08,-1.03,9.67
670,0.65,-1.44,8.45
680,2.72,-2.1,7.64
690,0.94,-1.38,9.36
700,-1.05,-1.24,10.26
710,-0.84,-1.36,9.91
720,-0.72,-1.42,9.79
730,-1.0,-1.37,9.26
740,-0.85,-1.38,8.5
750,-0.59,-1.42,8.87
760,-1.3,-0.97,9.17
770,-0.86,-1.67,9.59
780,-0.65,-0.88,9.61
790,-1.21,-1.37,9.82
800,-0.5,-1.11,9.39
810,0.31,-1.24,10.26
820,-0.13,-0.93,10.35
830,-0.89,-0.57,10.63
840,-1.09,-0.81,10.73
850,-0.91,-0.92,10.23
860,-2.02,-4.67,9.39
870,-7.98,-3.22,8.82
880,-6.42,-2.02,8.68
890,-3.5,-1.93,8.26
900,-2.15,-1.87,8.61
910,-2.12,-1.41,9.82
920,-2.67,-1.06,10.77
930,-0.31,-1.07,9.8
940,2.02,-1.45,8.61
950,1.17,-1.08,9.04
960,-0.12,-0.7,9.84
970,-0.23,-0.27,10.05
980,0.99,-0.5,9.78
990,1.0,-0.47,9.56
1000,1.12,-0.21,9.64
