timestamp,x,y,z
0,-2.16,-0.09,9.75
10,-2.1,-0.09,9.7
20,-1.98,-0.12,9.73
30,-1.81,-0.11,9.82
40,-1.59,-0.07,9.89
50,-1.47,-0.06,9.96
60,-1.41,-0.08,10.01
70,-1.37,-0.11,10.05
80,-1.29,-0.07,10.07
90,-1.2,-0.12,10.04
100,-1.1,-0.19,9.96
110,-1.01,-0.25,9.81
120,-1.02,-0.28,9.52
130,-1.14,-0.34,9.25
140,-1.31,-0.4,9.03
150,-1.44,-0.38,8.88
160,-1.58,-0.29,8.9
170,-1.79,-0.24,9.08
180,-2.01,-0.16,9.3
190,-2.17,-0.07,9.51
200,-2.28,-0.02,9.63
210,-2.35,0.01,9.59
220,-2.34,0.01,9.42
230,-2.24,-0.03,9.28
240,-2.05,-0.05,9.28
250,-1.85,-0.1,9.42
260,-1.55,-0.17,9.65
270,-1.25,-0.14,9.92
280,-1.04,-0.18,10.08
290,-0.97,-0.2,10.08
300,-1.03,-0.24,9.95
310,-1.2,-0.32,9.77
320,-1.37,-0.32,9.54
330,-1.52,-0.34,9.33
340,-1.56,-0.41,9.33
350,-1.45,-0.44,9.43
360,-1.3,-0.47,9.56
370,-1.09,-0.46,9.68
380,-0.9,-0.46,9.71
390,-0.8,-0.48,9.66
400,-0.79,-0.5,9.54
410,-0.86,-0.58,9.4
420,-1.13,-0.55,9.42
430,-1.13,-0.64,9.43
440,-0.93,-0.65,9.44
450,-0.63,-0.7,9.47
460,-0.37,-0.76,9.38
470,-0.28,-0.76,9.18
480,-0.48,-0.66,8.91
490,-0.8,-0.62,8.59
500,-1.2,-0.5,8.42
510,-1.49,-0.47,8.46
520,-1.46,-0.32,8.86
530,-1.13,-0.24,9.38
540,-0.65,-0.17,9.93
550,-0.34,-0.03,10.29
560,-0.33,0.0,10.46
570,-0.54,0.01,10.4
580,-0.9,0.01,10.06
590,-1.22,-0.02,9.59
600,-1.5,-0.06,9.23
610,-1.65,-0.06,9.08
620,-1.75,-0.01,9.09
630,-1.72,0.02,9.27
640,-1.5,0.08,9.61
650,-1.63,0.31,11.22
660,-1.89,0.43,12.37
670,-1.36,0.25,11.19
680,-1.17,0.03,9.64
690,-1.26,-0.05,9.24
700,-1.7,-0.05,9.56
710,-2.05,-0.0,9.93
720,-2.23,0.03,10.02
730,-2.58,-0.03,9.47
740,-2.59,-0.21,8.57
750,-1.97,-0.4,8.0
760,-1.23,-0.42,8.42
770,-1.11,-0.36,9.13
780,-1.46,-0.26,9.51
790,-1.88,-0.23,9.58
800,-2.31,-0.05,9.53
810,-1.02,-0.38,9.16
820,1.31,0.29,11.21
830,-1.51,-0.37,9.35
840,-2.67,-0.47,8.04
850,-1.75,-0.3,9.26
860,-1.9,-0.05,10.15
870,-1.85,-0.13,10.3
880,-1.32,-0.45,10.39
890,-0.99,-0.48,10.47
900,-0.86,-0.46,10.13
910,-0.62,-0.46,9.66
920,-0.49,-0.65,9.25
930,-0.91,-0.93,8.51
940,-1.45,-1.12,8.53
950,-2.41,-1.07,9.09
960,-1.87,-0.98,9.97
970,-0.67,-1.49,9.47
980,-0.39,-0.7,9.44
990,-0.37,-0.11,9.68
1000,-0.74,-0.86,9.98
