timestamp,x,y,z
0,-2.2,-1.01,9.65
10,-2.01,-0.97,9.8
20,-1.73,-0.99,9.93
30,-1.56,-1.0,9.99
40,-1.39,-1.07,10.03
50,-1.21,-1.13,9.99
60,-1.05,-1.18,9.87
70,-0.94,-1.22,9.83
80,-0.9,-1.27,9.73
90,-0.91,-1.3,9.64
100,-0.95,-1.32,9.61
110,-0.97,-1.3,9.62
120,-1.01,-1.24,9.73
130,-1.06,-1.22,9.84
140,-1.05,-1.18,9.87
150,-1.07,-1.18,9.71
160,-1.19,-1.21,9.5
170,-1.4,-1.22,9.39
180,-1.48,-1.21,9.34
190,-1.41,-1.25,9.42
200,-1.24,-1.2,9.49
210,-1.09,-1.18,9.67
220,-1.04,-1.14,9.78
230,-1.08,-1.09,9.8
240,-1.23,-1.08,9.73
250,-1.42,-1.09,9.63
260,-1.61,-1.06,9.54
270,-1.77,-1.04,9.46
280,-1.89,-1.05,9.43
290,-1.89,-1.17,9.49
300,-1.56,-1.24,9.4
310,-1.13,-1.3,9.31
320,-0.79,-1.33,9.17
330,-0.53,-1.59,9.11
340,-0.14,-1.73,9.36
350,0.57,-1.76,9.77
360,1.15,-1.72,9.99
370,1.36,-1.66,9.95
380,1.07,-1.65,9.59
390,0.31,-1.63,9.12
400,-0.48,-1.54,8.91
410,-1.15,-1.4,8.98
420,-1.45,-1.25,9.21
430,-1.44,-1.16,9.48
440,-1.2,-1.14,9.78
450,-0.83,-1.14,10.03
460,-0.51,-1.14,10.12
470,-0.44,-1.11,10.02
480,-0.68,-1.13,9.7
490,-1.02,-1.14,9.43
500,-1.3,-1.19,9.27
510,-1.38,-1.16,9.33
520,-1.35,-1.15,9.48
530,-1.22,-1.17,9.59
540,-1.06,-1.21,9.56
550,-0.94,-1.25,9.5
560,-0.82,-1.29,9.4
570,-0.77,-1.34,9.35
580,-0.79,-1.31,9.29
590,-0.93,-1.31,9.2
600,-1.07,-1.24,9.0
610,-1.26,-1.19,8.82
620,-1.51,-1.19,8.62
630,-1.75,-1.2,8.63
640,-1.92,-1.08,8.78
650,-1.9,-1.04,8.93
660,-1.89,-0.96,9.09
670,-1.73,-0.93,9.26
680,-1.47,-0.88,9.48
690,-1.2,-0.8,9.64
700,-1.0,-0.75,9.81
710,-0.98,-0.67,9.92
720,-1.11,-0.65,10.04
730,-1.14,-0.42,11.15
740,0.4,-0.09,15.86
750,0.81,-0.73,12.95
760,-1.02,-0.89,9.74
770,-2.08,-1.19,8.41
780,-2.49,-1.12,8.25
790,-2.41,-0.97,8.31
800,-1.87,-0.85,8.8
810,-1.87,-0.85,9.22
820,-2.39,-0.76,9.38
830,-3.73,-1.15,6.75
840,0.07,-1.02,7.81
850,-2.0,-0.58,9.89
860,-3.46,-0.57,10.16
870,-3.09,-0.62,10.36
880,-3.32,-0.65,9.74
890,-3.67,-0.51,9.49
900,-2.13,-1.28,9.08
910,-0.97,-1.26,9.57
920,-0.55,-1.19,9.95
930,-0.3,-1.29,9.57
940,-0.39,-1.07,9.57
950,-0.57,-1.15,9.86
960,0.04,-3.5,7.63
970,-2.55,-2.91,6.84
980,-3.39,-2.24,9.18
990,-3.28,-1.89,9.71
1000,-1.94,-1.98,9.12
