timestamp,x,y,z
0,-0.51,-2.07,9.1
10,-0.28,-2.0,9.28
20,-0.25,-1.88,9.76
30,-0.11,-1.72,10.26
40,0.15,-1.64,10.54
50,0.31,-1.67,10.51
60,0.28,-1.73,10.19
70,0.13,-1.81,9.83
80,0.01,-1.98,9.5
90,-0.07,-2.05,9.13
100,-0.11,-2.11,8.82
110,-0.12,-2.13,8.78
120,-0.07,-2.06,9.01
130,-0.06,-1.97,9.29
140,-0.03,-1.91,9.51
150,-0.01,-1.88,9.61
160,0.0,-1.77,9.62
170,-0.12,-1.74,9.56
180,-0.23,-1.7,9.55
190,-0.25,-1.71,9.62
200,-0.15,-1.74,9.68
210,-0.03,-1.78,9.64
220,-0.04,-1.81,9.55
230,-0.05,-1.86,9.48
240,0.18,-1.94,9.51
250,0.46,-1.96,9.66
260,0.6,-1.96,9.84
270,0.55,-1.95,9.95
280,0.47,-1.89,9.91
290,0.33,-1.85,9.88
300,0.14,-1.87,9.8
310,0.08,-1.91,9.7
320,0.17,-1.93,9.55
330,0.2,-1.91,9.39
340,0.06,-1.85,9.33
350,-0.22,-1.75,9.28
360,-0.51,-1.69,9.31
370,-0.72,-1.62,9.35
380,-0.7,-1.6,9.35
390,-0.33,-1.61,9.36
400,0.36,-1.72,9.43
410,1.01,-1.83,9.7
420,1.3,-1.75,10.02
430,1.32,-1.7,10.24
440,0.99,-1.65,10.31
450,0.6,-1.66,10.07
460,0.36,-1.67,9.58
470,0.23,-1.73,9.1
480,0.2,-1.73,9.02
490,0.33,-1.75,9.2
500,0.48,-1.76,9.32
510,0.57,-1.72,9.33
520,0.46,-1.75,9.17
530,0.29,-1.72,8.96
540,0.14,-1.74,8.87
550,0.15,-1.68,8.9
560,0.22,-1.67,8.96
570,0.25,-1.65,9.05
580,0.32,-1.61,9.12
590,0.36,-1.54,9.27
600,0.17,-1.15,10.7
610,-0.35,-0.85,12.27
620,-0.26,-0.92,11.67
630,-0.27,-1.02,10.26
640,-0.33,-1.25,9.35
650,-0.2,-1.37,9.12
660,0.03,-1.37,9.41
670,-0.1,-1.36,9.9
680,-0.18,-1.36,10.07
690,0.06,-1.51,9.79
700,0.23,-1.55,9.17
710,1.78,-2.1,7.64
720,1.99,-1.96,8.42
730,0.55,-1.46,9.88
740,0.25,-1.32,10.55
750,0.53,-1.29,10.43
760,0.64,-1.41,10.01
770,0.79,-1.31,10.55
780,0.65,-1.25,10.61
790,0.55,-1.35,10.12
800,0.13,-1.26,10.62
810,0.07,-1.27,10.54
820,0.11,-1.28,10.33
830,-0.29,-1.25,10.16
840,-0.17,-1.32,9.84
850,-0.02,-1.52,9.8
860,0.09,-1.46,9.49
870,-0.87,-1.35,8.55
880,-0.45,-1.7,8.3
890,0.28,-1.92,8.65
900,0.23,-1.78,9.17
910,-0.08,-1.75,9.39
920,-0.34,-1.77,9.53
930,-0.45,-1.74,9.53
940,-0.4,-1.71,9.67
950,-0.48,-1.7,9.64
960,-0.71,-1.64,9.77
970,-0.75,-1.64,9.85
980,-0.71,-1.68,9.65
990,-0.71,-1.75,9.28
1000,-0.83,-1.8,9.06
