timestamp,x,y,z
0,1.62,-7.84,6.22
10,1.57,-7.81,6.22
20,1.78,-7.8,6.06
30,2.03,-7.83,5.8
40,2.35,-7.84,5.61
50,2.67,-7.9,5.37
60,2.83,-7.94,5.15
70,2.94,-7.95,4.99
80,2.87,-7.98,4.82
90,2.74,-8.02,4.73
100,2.58,-8.04,4.68
110,2.52,-8.01,4.7
120,2.58,-8.02,4.75
130,2.75,-8.01,4.72
140,2.93,-8.04,4.69
150,3.07,-8.07,4.74
160,3.03,-8.06,4.93
170,2.84,-7.99,5.22
180,2.52,-7.9,5.44
190,2.18,-7.87,5.59
200,2.0,-7.81,5.66
210,1.92,-7.73,5.65
220,2.03,-7.74,5.57
230,2.28,-7.84,5.36
240,2.53,-7.93,5.16
250,2.68,-8.03,5.16
260,2.7,-8.02,5.21
270,2.56,-7.96,5.29
280,2.26,-7.93,5.46
290,2.01,-7.86,5.71
300,1.74,-7.81,5.88
310,1.57,-7.83,5.94
320,1.59,-7.93,5.8
330,1.76,-8.07,5.46
340,2.0,-8.2,5.03
350,2.24,-8.22,4.77
360,2.43,-8.14,4.83
370,2.48,-7.99,5.11
380,2.36,-7.8,5.54
390,2.26,-7.56,5.92
400,2.16,-7.42,6.15
410,2.11,-7.37,6.16
420,2.1,-7.44,6.03
430,2.08,-7.47,5.8
440,2.05,-7.52,5.55
450,2.02,-7.54,5.4
460,1.89,-7.56,5.28
470,1.76,-7.56,5.23
480,1.66,-7.54,5.2
490,1.57,-7.56,5.15
500,1.6,-7.62,5.08
510,1.67,-7.71,4.95
520,1.74,-7.78,4.89
530,1.91,-7.81,4.89
540,2.13,-7.83,5.0
550,2.32,-7.83,5.12
560,2.57,-7.8,5.46
570,4.08,-7.55,9.69
580,5.86,-7.58,11.48
590,4.78,-7.77,9.22
600,3.82,-7.77,7.98
610,3.64,-8.11,5.5
620,2.45,-7.73,2.7
630,8.68,-10.01,-5.51
640,12.12,-8.92,-3.79
650,7.02,-7.05,1.78
660,1.44,-6.01,5.43
670,-7.09,-6.77,5.72
680,-11.57,-6.87,10.88
690,-4.98,-9.04,8.9
700,-2.62,-7.51,9.32
710,-1.83,-6.27,8.61
720,0.43,-7.21,7.5
730,2.25,-8.63,5.58
740,1.66,-9.8,4.06
750,1.87,-8.98,4.47
760,1.87,-8.76,5.48
770,1.67,-8.62,6.18
780,1.5,-8.55,6.44
790,1.29,-8.59,6.17
800,0.84,-8.79,5.77
810,0.61,-8.81,5.8
820,0.89,-8.82,5.95
830,1.53,-8.68,6.56
840,1.47,-8.44,6.87
850,1.45,-8.46,5.81
860,0.43,-8.77,4.15
870,1.06,-8.16,0.91
880,2.87,-9.03,-0.41
890,4.63,-9.59,1.83
900,5.45,-9.31,5.1
910,4.38,-8.38,7.71
920,3.22,-7.87,8.91
930,2.13,-7.83,8.62
940,1.07,-8.37,7.57
950,-0.18,-8.6,6.49
960,-1.6,-8.62,6.17
970,-2.31,-8.65,6.72
980,-2.02,-8.66,7.44
990,-0.99,-8.43,8.11
1000,-0.65,-8.07,7.4
