timestamp,x,y,z
0,0.02,-9.28,3.39
10,-0.08,-9.18,3.75
20,0.09,-9.09,4.07
30,0.14,-9.01,4.35
40,0.16,-8.93,4.53
50,0.23,-8.86,4.66
60,0.35,-8.9,4.61
70,0.45,-8.94,4.5
80,0.54,-8.94,4.3
90,0.57,-8.96,4.04
100,0.53,-8.96,3.74
110,0.51,-8.98,3.47
120,0.53,-8.95,3.3
130,0.61,-8.94,3.23
140,0.66,-8.96,3.21
150,0.69,-9.03,3.15
160,0.72,-9.07,3.06
170,0.78,-9.11,3.0
180,0.85,-9.12,3.05
190,0.88,-9.11,3.27
200,0.86,-9.02,3.55
210,0.84,-8.98,3.81
220,0.78,-8.99,3.98
230,0.67,-9.02,3.99
240,0.44,-9.09,3.8
250,0.18,-9.14,3.49
260,-0.07,-9.17,3.17
270,-0.3,-9.16,3.05
280,-0.36,-9.09,3.22
290,-0.28,-9.0,3.64
300,-0.11,-8.94,4.09
310,0.08,-8.91,4.38
320,0.26,-8.96,4.5
330,0.41,-9.08,4.4
340,0.43,-9.16,4.08
350,0.3,-9.14,3.84
360,0.06,-9.09,3.72
370,0.04,-9.04,3.81
380,0.13,-9.01,3.97
390,0.35,-8.9,4.27
400,0.49,-8.89,4.4
410,0.63,-8.97,4.29
420,0.76,-9.05,3.9
430,0.78,-9.08,3.56
440,0.72,-9.06,3.37
450,0.63,-8.99,3.38
460,0.54,-8.9,3.62
470,0.42,-8.76,3.87
480,0.34,-8.69,4.08
490,0.32,-8.68,4.1
500,0.45,-8.71,3.9
510,0.6,-8.72,3.58
520,0.72,-8.72,3.27
530,0.82,-8.68,3.11
540,0.81,-8.66,3.02
550,0.66,-8.63,3.07
560,0.47,-8.57,3.25
570,0.36,-8.57,3.42
580,0.3,-8.63,3.5
590,0.21,-8.84,3.59
600,2.25,-8.66,9.84
610,2.47,-8.56,10.95
620,0.17,-8.7,8.0
630,1.13,-9.0,6.13
640,0.57,-9.47,2.27
650,-0.51,-9.79,0.19
660,-0.58,-10.03,-0.92
670,-0.67,-10.19,-0.87
680,-0.55,-10.13,0.23
690,-1.05,-9.9,1.1
700,-0.83,-9.73,1.62
710,-1.76,-9.28,0.6
720,2.45,-10.19,-1.82
730,2.89,-9.76,0.5
740,2.16,-9.41,4.86
750,-0.05,-9.02,7.09
760,-1.11,-9.52,7.15
770,-0.64,-8.87,6.2
780,-0.58,-8.45,5.66
790,-0.37,-8.9,4.71
800,-0.01,-9.29,3.66
810,-0.04,-9.42,3.14
820,0.07,-9.27,3.22
830,0.23,-9.25,3.36
840,0.4,-9.05,3.54
850,0.55,-8.91,3.8
860,0.51,-8.91,4.15
870,0.38,-8.89,4.41
880,0.11,-8.85,4.52
890,0.03,-8.82,4.57
900,-0.05,-8.95,4.76
910,-0.28,-8.85,4.33
920,-0.21,-9.28,3.85
930,-0.32,-9.38,3.36
940,-0.34,-8.61,3.26
950,0.13,-8.74,3.75
960,-0.03,-10.66,4.69
970,-1.01,-9.13,3.96
980,-1.37,-9.08,3.66
990,-0.68,-9.19,3.85
1000,0.11,-9.12,3.89
