timestamp,x,y,z
0,0.32,-8.68,4.75
10,0.23,-8.62,4.78
20,0.03,-8.54,4.87
30,0.0,-8.57,4.85
40,-0.09,-8.6,4.81
50,-0.05,-8.63,4.71
60,0.15,-8.65,4.61
70,0.33,-8.71,4.45
80,0.46,-8.73,4.37
90,0.62,-8.73,4.26
100,0.62,-8.69,4.27
110,0.51,-8.66,4.34
120,0.51,-8.68,4.33
130,0.63,-8.65,4.37
140,0.74,-8.68,4.37
150,0.91,-8.75,4.41
160,0.96,-8.77,4.48
170,0.76,-8.7,4.57
180,0.51,-8.77,4.63
190,0.43,-8.66,4.75
200,0.54,-8.6,4.82
210,0.63,-8.59,4.71
220,0.65,-8.67,4.47
230,0.62,-8.77,4.12
240,0.48,-8.86,3.9
250,0.26,-8.83,3.89
260,0.13,-8.81,4.08
270,0.06,-8.73,4.36
280,0.04,-8.54,4.84
290,0.05,-8.39,5.26
300,0.04,-8.36,5.61
310,0.2,-8.31,5.8
320,0.29,-8.31,5.67
330,0.33,-8.36,5.24
340,0.34,-8.42,4.65
350,0.32,-8.48,4.1
360,0.29,-8.46,3.82
370,0.23,-8.39,3.86
380,0.28,-8.42,4.06
390,0.36,-8.53,4.2
400,0.46,-8.56,4.24
410,0.35,-8.55,4.25
420,0.06,-8.52,4.36
430,-0.19,-8.48,4.53
440,-0.31,-8.42,4.85
450,-0.25,-8.34,5.25
460,-0.12,-8.37,5.6
470,0.15,-8.5,5.67
480,0.41,-8.72,5.49
490,0.47,-8.75,5.19
500,0.34,-8.79,4.86
510,0.22,-8.8,4.68
520,0.15,-8.68,4.62
530,0.06,-8.51,4.64
540,0.02,-8.48,4.76
550,3.07,-9.21,11.88
560,1.79,-7.38,14.2
570,0.89,-7.82,9.38
580,-0.0,-8.13,6.18
590,-0.3,-7.99,3.61
600,-1.01,-7.96,1.52
610,-1.68,-7.86,0.63
620,-1.29,-7.79,0.66
630,4.51,-10.52,-2.76
640,14.2,-10.01,-6.36
650,12.35,-9.72,0.28
660,5.7,-6.6,6.7
670,0.9,-5.43,9.58
680,-4.85,-5.59,8.55
690,-22.21,-8.68,11.68
700,-15.99,-9.88,8.88
710,-9.38,-11.67,4.19
720,-4.17,-9.24,0.38
730,2.39,-9.32,-0.82
740,5.4,-10.1,1.07
750,5.79,-9.67,3.53
760,3.0,-9.13,4.98
770,-0.78,-9.05,5.49
780,-2.24,-9.05,5.82
790,-1.8,-9.27,5.59
800,-0.58,-9.89,4.53
810,0.46,-9.87,4.08
820,0.65,-8.71,5.56
830,0.63,-8.34,7.13
840,1.06,-8.39,6.95
850,1.51,-8.58,5.36
860,1.36,-9.66,2.46
870,0.36,-10.06,0.26
880,0.49,-9.83,-0.35
890,2.13,-9.77,-1.51
900,2.55,-9.97,-1.74
910,4.35,-10.45,-2.81
920,6.14,-10.22,-1.4
930,3.23,-9.2,1.69
940,1.6,-8.41,4.43
950,-1.03,-7.58,7.39
960,-2.77,-6.91,9.32
970,-3.58,-7.1,9.75
980,-3.97,-7.62,9.05
990,-4.37,-8.06,7.95
1000,-4.04,-8.45,7.05
