timestamp,x,y,z
0,-0.1,-9.63,3.02
10,-0.36,-9.51,3.02
20,-0.73,-9.43,2.96
30,-1.11,-9.36,2.95
40,-1.45,-9.25,3.09
50,-1.53,-9.17,3.33
60,-1.31,-9.1,3.61
70,-0.73,-9.07,3.84
80,-0.15,-9.08,3.88
90,0.19,-9.12,3.68
100,0.28,-9.19,3.28
110,0.19,-9.24,2.81
120,-0.07,-9.26,2.39
130,-0.39,-9.32,2.12
140,-0.8,-9.36,1.86
150,-1.07,-9.44,1.66
160,-1.01,-9.53,1.48
170,-0.79,-9.57,1.42
180,-0.48,-9.55,1.54
190,-0.27,-9.5,1.81
200,-0.15,-9.37,2.19
210,-0.2,-9.23,2.65
220,-0.28,-9.18,3.06
230,-0.38,-9.19,3.3
240,-0.42,-9.3,3.35
250,-0.49,-9.39,3.22
260,-0.62,-9.42,2.94
270,-0.75,-9.42,2.65
280,-0.81,-9.36,2.46
290,-0.74,-9.28,2.48
300,-0.57,-9.25,2.73
310,-0.36,-9.31,3.1
320,-0.13,-9.35,3.44
330,-0.02,-9.33,3.68
340,0.01,-9.35,3.83
350,0.02,-9.27,3.84
360,-0.07,-9.24,3.79
370,-0.18,-9.27,3.59
380,-0.19,-9.37,3.35
390,-0.21,-9.47,3.16
400,-0.28,-9.63,3.07
410,-0.51,-9.68,3.09
420,-0.77,-9.66,3.13
430,-0.95,-9.61,3.2
440,-1.17,-9.56,3.19
450,-1.3,-9.55,3.24
460,-1.15,-9.5,3.41
470,-0.84,-9.53,3.63
480,-0.5,-9.53,3.84
490,-0.31,-9.48,4.03
500,-0.29,-9.41,4.22
510,-0.42,-9.3,4.28
520,-0.67,-9.23,4.14
530,-0.97,-9.23,3.87
540,-1.18,-9.2,3.46
550,-1.32,-9.26,3.0
560,-1.15,-9.32,2.53
570,-0.82,-9.35,2.14
580,-0.8,-9.17,-0.02
590,6.02,-10.67,-5.7
600,6.32,-10.09,-6.28
610,-0.57,-9.13,-4.0
620,-2.47,-8.53,0.97
630,-3.51,-7.38,10.32
640,-6.64,-7.54,11.94
650,-2.63,-8.32,10.36
660,-1.9,-8.56,7.45
670,-3.04,-9.58,4.81
680,-1.29,-9.61,2.45
690,0.78,-10.32,-0.92
700,-0.53,-9.47,-0.5
710,-1.63,-10.06,-0.07
720,-2.43,-9.62,0.42
730,-2.61,-10.22,1.02
740,-2.72,-8.91,1.62
750,-2.43,-9.61,2.4
760,-2.3,-9.39,3.44
770,-0.1,-8.7,3.02
780,2.03,-9.09,1.06
790,2.59,-9.8,-0.39
800,1.47,-9.43,1.46
810,0.74,-9.09,2.72
820,1.11,-9.15,2.92
830,2.23,-8.91,3.92
840,2.78,-8.59,5.17
850,0.78,-9.29,5.28
860,-1.09,-9.64,4.61
870,0.38,-9.31,2.48
880,2.29,-9.11,1.32
890,4.11,-9.35,0.52
900,7.36,-10.83,-0.31
910,9.34,-11.23,-0.34
920,8.02,-10.04,2.78
930,5.33,-6.87,6.99
940,3.17,-7.24,9.29
950,3.55,-8.39,8.87
960,4.85,-8.06,8.32
970,4.97,-8.1,8.46
980,4.19,-8.82,8.26
990,3.06,-9.04,7.83
1000,2.05,-9.01,7.5
