timestamp,x,y,z
0,-0.01,-9.06,4.58
10,-0.13,-9.06,4.55
20,-0.43,-8.93,4.49
30,-0.39,-8.89,4.37
40,-0.26,-8.87,4.26
50,0.07,-8.96,4.13
60,0.5,-9.07,4.01
70,0.78,-9.06,3.96
80,0.86,-9.09,3.84
90,0.57,-9.04,3.68
100,0.17,-8.99,3.58
110,-0.2,-8.93,3.5
120,-0.31,-8.92,3.44
130,-0.18,-8.94,3.39
140,0.21,-9.0,3.32
150,0.7,-9.03,3.33
160,1.08,-9.04,3.41
170,1.34,-9.02,3.48
180,1.32,-8.94,3.53
190,1.1,-8.87,3.48
200,0.88,-8.86,3.33
210,0.55,-8.86,3.17
220,0.35,-8.92,3.07
230,0.28,-8.94,3.07
240,0.32,-8.97,3.22
250,0.47,-8.92,3.53
260,0.61,-8.82,3.84
270,0.74,-8.73,4.05
280,0.75,-8.65,4.13
290,0.65,-8.63,4.08
300,0.52,-8.63,3.93
310,0.4,-8.58,3.75
320,0.32,-8.52,3.55
330,0.17,-8.43,3.47
340,0.22,-8.36,3.47
350,0.38,-8.43,3.42
360,0.57,-8.66,3.28
370,0.73,-9.0,3.0
380,0.77,-9.3,2.65
390,0.47,-9.4,2.57
400,0.04,-9.38,2.89
410,-0.32,-9.33,3.53
420,-0.51,-9.18,4.32
430,-0.59,-9.01,5.07
440,-0.43,-8.9,5.76
450,-0.08,-8.88,6.17
460,0.42,-8.98,6.11
470,0.76,-9.12,5.67
480,0.68,-9.14,5.14
490,0.34,-9.11,4.69
500,-0.12,-8.98,4.49
510,-0.6,-8.82,4.56
520,-0.82,-8.63,4.87
530,-0.75,-8.54,5.11
540,-0.35,-8.61,5.05
550,-0.06,-8.98,4.68
560,0.22,-8.64,4.91
570,0.19,-8.57,4.81
580,0.17,-8.58,4.53
590,-0.26,-9.21,4.76
600,1.07,-8.7,6.18
610,0.3,-9.07,5.71
620,0.15,-8.34,4.88
630,0.16,-7.02,4.26
640,-0.04,-7.36,3.09
650,0.93,-7.75,2.53
660,2.19,-7.8,2.68
670,3.11,-7.45,3.88
680,5.34,-7.52,6.39
690,13.46,-8.92,7.67
700,12.67,-9.16,5.39
710,4.48,-7.28,7.87
720,-0.5,-7.13,5.98
730,-6.2,-9.95,-0.99
740,-9.17,-10.6,-1.29
750,-5.37,-10.82,-1.41
760,-2.72,-10.3,0.7
770,-0.02,-9.62,2.33
780,1.08,-9.42,2.58
790,1.12,-9.67,2.53
800,0.92,-10.18,2.4
810,0.46,-10.5,2.32
820,-1.52,-11.62,2.01
830,-1.2,-9.85,2.49
840,-0.25,-9.39,3.47
850,-0.61,-11.09,4.53
860,-1.22,-10.96,3.74
870,-1.81,-10.24,2.23
880,-2.29,-10.26,1.87
890,-1.77,-10.13,2.04
900,-0.49,-9.99,2.31
910,-0.15,-10.33,1.5
920,-0.7,-10.55,0.47
930,-1.18,-10.41,-0.14
940,0.59,-10.67,-1.24
950,2.43,-11.03,-0.76
960,1.67,-10.28,2.02
970,1.2,-9.64,4.38
980,0.28,-9.05,6.53
990,-1.4,-8.39,8.61
1000,-3.48,-8.02,9.76
