timestamp,x,y,z
0,-1.56,-8.7,4.51
10,-1.47,-8.64,4.48
20,-1.21,-8.57,4.6
30,-0.85,-8.56,4.77
40,-0.64,-8.6,4.91
50,-0.5,-8.64,5.07
60,-0.4,-8.64,5.13
70,-0.39,-8.68,5.12
80,-0.45,-8.7,5.01
90,-0.61,-8.71,4.72
100,-0.78,-8.76,4.33
110,-0.8,-8.78,4.07
120,-0.57,-8.84,3.94
130,-0.22,-8.88,3.94
140,0.11,-8.87,4.01
150,0.34,-8.9,4.09
160,0.3,-8.88,4.2
170,0.13,-8.86,4.27
180,-0.17,-8.8,4.32
190,-0.41,-8.74,4.36
200,-0.49,-8.64,4.49
210,-0.37,-8.64,4.59
220,-0.12,-8.65,4.61
230,0.14,-8.7,4.51
240,0.27,-8.76,4.28
250,0.21,-8.77,4.07
260,0.01,-8.75,3.83
270,-0.3,-8.75,3.58
280,-0.58,-8.75,3.5
290,-0.69,-8.73,3.47
300,-0.67,-8.72,3.58
310,-0.55,-8.72,3.91
320,-0.43,-8.68,4.29
330,-0.35,-8.66,4.55
340,-0.39,-8.67,4.8
350,-0.49,-8.66,5.01
360,-0.64,-8.62,5.14
370,-0.74,-8.59,5.24
380,-0.79,-8.58,5.15
390,-0.62,-8.59,4.92
400,-0.38,-8.63,4.66
410,-0.12,-8.65,4.39
420,-0.02,-8.63,4.26
430,-0.05,-8.64,4.28
440,-0.13,-8.75,4.32
450,-0.34,-8.8,4.36
460,-0.53,-8.83,4.46
470,-0.67,-8.78,4.58
480,-0.64,-8.77,4.72
490,-0.42,-8.75,4.87
500,-0.1,-8.68,5.03
510,0.06,-8.63,5.18
520,-0.02,-8.61,5.23
530,-0.23,-8.54,5.23
540,-0.57,-8.49,5.1
550,-0.9,-8.46,4.84
560,-1.15,-8.45,4.51
570,-1.19,-8.44,4.28
580,-0.51,-8.53,5.19
590,-0.1,-8.17,10.03
600,0.05,-8.16,9.11
610,-0.26,-8.41,7.2
620,-0.46,-8.59,6.33
630,-0.63,-8.83,4.33
640,-0.57,-9.11,2.55
650,0.02,-9.16,1.26
660,2.01,-9.95,-2.1
670,4.95,-10.58,-5.92
680,3.5,-9.69,-2.21
690,0.08,-8.96,2.17
700,-3.13,-8.57,4.66
710,-4.0,-8.54,5.09
720,-3.11,-8.83,4.35
730,-2.62,-8.73,4.34
740,-3.02,-8.63,4.43
750,-3.45,-9.12,4.35
760,-2.93,-8.98,3.78
770,-2.29,-8.57,4.44
780,-2.51,-8.05,5.68
790,-3.07,-8.04,6.34
800,-3.49,-8.2,7.02
810,-4.2,-8.91,8.31
820,-4.13,-8.36,6.99
830,-2.48,-8.82,5.43
840,-0.16,-8.79,4.7
850,1.46,-8.52,4.45
860,2.13,-8.61,3.72
870,2.01,-9.24,2.92
880,2.17,-9.58,2.8
890,2.52,-9.56,3.12
900,2.38,-9.56,4.13
910,2.06,-9.42,5.28
920,1.81,-9.15,6.91
930,1.64,-8.96,8.13
940,1.69,-8.73,8.33
950,2.31,-8.82,7.64
960,3.18,-9.1,6.54
970,3.75,-9.37,5.73
980,3.56,-9.57,5.5
990,2.78,-9.87,5.49
1000,2.01,-10.13,5.25
