timestamp,x,y,z
0,-1.43,-8.6,4.56
10,-1.43,-8.53,4.77
20,-1.37,-8.46,4.97
30,-1.22,-8.49,4.97
40,-1.09,-8.53,4.91
50,-0.97,-8.6,4.64
60,-0.99,-8.66,4.43
70,-1.04,-8.65,4.3
80,-1.02,-8.66,4.13
90,-1.02,-8.73,3.97
100,-0.99,-8.75,3.9
110,-0.8,-8.75,3.88
120,-0.69,-8.76,3.9
130,-0.57,-8.77,3.85
140,-0.55,-8.73,3.82
150,-0.66,-8.78,3.75
160,-0.82,-8.76,3.77
170,-0.95,-8.76,3.78
180,-1.07,-8.7,3.9
190,-1.11,-8.68,4.14
200,-1.14,-8.62,4.49
210,-1.0,-8.56,4.81
220,-0.86,-8.58,4.93
230,-0.82,-8.54,4.83
240,-0.89,-8.51,4.63
250,-1.01,-8.53,4.31
260,-1.02,-8.56,4.06
270,-0.94,-8.57,3.96
280,-0.77,-8.54,4.05
290,-0.6,-8.53,4.14
300,-0.46,-8.57,4.16
310,-0.43,-8.55,4.09
320,-0.43,-8.63,4.05
330,-0.51,-8.59,4.02
340,-0.63,-8.54,4.0
350,-0.7,-8.5,3.97
360,-0.71,-8.54,3.94
370,-0.67,-8.61,3.96
380,-0.6,-8.76,3.99
390,-0.51,-8.88,4.0
400,-0.57,-8.93,4.04
410,-0.68,-8.88,4.2
420,-0.93,-8.82,4.42
430,-1.08,-8.73,4.66
440,-1.15,-8.68,4.84
450,-1.21,-8.67,5.03
460,-1.21,-8.67,5.2
470,-1.19,-8.67,5.3
480,-1.21,-8.67,5.24
490,-1.22,-8.64,5.11
500,-1.35,-8.67,4.91
510,-1.41,-8.55,4.85
520,-1.41,-8.54,4.77
530,-1.35,-8.54,4.75
540,-1.23,-8.5,4.68
550,-1.13,-8.58,4.51
560,-1.09,-8.66,4.29
570,-1.14,-8.68,4.13
580,-1.21,-8.71,4.12
590,-1.25,-8.65,4.23
600,-1.13,-8.53,4.43
610,-0.96,-8.43,4.59
620,-0.79,-8.4,4.68
630,-0.56,-8.43,4.72
640,-0.29,-8.43,4.65
650,-0.02,-8.47,4.56
660,0.77,-8.42,5.74
670,-4.26,-8.45,10.14
680,4.49,-8.13,10.22
690,2.38,-8.45,7.47
700,0.07,-7.98,4.48
710,1.63,-10.74,-5.53
720,13.34,-10.42,-1.52
730,6.6,-9.99,3.13
740,1.58,-8.32,4.91
750,0.91,-9.02,4.11
760,-1.71,-7.87,5.92
770,0.36,-8.59,7.09
780,0.31,-8.81,7.52
790,-0.46,-8.99,7.09
800,-0.57,-9.06,7.08
810,-0.19,-10.58,6.88
820,1.24,-12.71,5.55
830,2.23,-9.91,5.2
840,1.64,-10.06,5.71
850,1.82,-9.69,4.48
860,1.6,-10.35,4.44
870,2.22,-10.79,4.45
880,2.66,-10.37,4.85
890,2.98,-10.26,4.83
900,3.2,-10.5,4.51
910,2.91,-10.6,3.83
920,2.43,-10.57,2.88
930,2.21,-10.97,1.62
940,2.53,-11.57,-0.31
950,3.02,-11.0,-0.92
960,2.05,-10.06,0.08
970,1.19,-9.53,0.74
980,0.99,-9.24,1.02
990,0.9,-9.18,1.04
1000,0.64,-9.3,1.03
