timestamp,x,y,z
0,-1.35,-8.7,4.42
10,-1.3,-8.74,4.31
20,-1.2,-8.77,4.23
30,-1.02,-8.8,4.17
40,-0.85,-8.82,4.13
50,-0.86,-8.78,4.07
60,-0.84,-8.77,4.0
70,-0.87,-8.71,3.92
80,-1.05,-8.67,3.92
90,-1.18,-8.7,4.03
100,-1.14,-8.69,4.24
110,-1.06,-8.64,4.44
120,-0.98,-8.6,4.53
130,-1.0,-8.54,4.41
140,-1.12,-8.54,4.04
150,-1.29,-8.62,3.6
160,-1.4,-8.65,3.29
170,-1.39,-8.72,3.16
180,-1.28,-8.76,3.33
190,-1.11,-8.72,3.71
200,-1.03,-8.66,4.13
210,-1.08,-8.62,4.36
220,-1.24,-8.67,4.44
230,-1.36,-8.71,4.48
240,-1.35,-8.7,4.56
250,-1.35,-8.65,4.66
260,-1.31,-8.62,4.7
270,-1.38,-8.6,4.69
280,-1.5,-8.62,4.69
290,-1.59,-8.63,4.73
300,-1.54,-8.54,4.74
310,-1.47,-8.52,4.58
320,-1.4,-8.55,4.3
330,-1.36,-8.57,4.12
340,-1.31,-8.57,3.99
350,-1.27,-8.61,4.01
360,-1.09,-8.61,4.09
370,-0.92,-8.63,4.2
380,-0.88,-8.66,4.27
390,-0.97,-8.66,4.4
400,-1.12,-8.63,4.46
410,-1.26,-8.6,4.52
420,-1.41,-8.53,4.58
430,-1.48,-8.46,4.71
440,-1.42,-8.53,4.71
450,-1.28,-8.55,4.62
460,-1.08,-8.61,4.47
470,-0.96,-8.65,4.34
480,-0.92,-8.66,4.26
490,-0.97,-8.67,4.21
500,-1.02,-8.61,4.2
510,-1.07,-8.62,4.23
520,-1.13,-8.56,4.41
530,-0.9,-8.6,4.71
540,-0.41,-8.95,5.69
550,1.27,-8.63,11.64
560,-0.11,-8.03,9.8
570,-2.64,-8.5,6.37
580,-3.23,-8.46,3.48
590,-1.92,-8.84,2.21
600,-1.45,-8.91,2.09
610,-1.64,-8.56,2.4
620,-1.95,-8.26,2.42
630,-0.88,-9.72,-2.78
640,2.4,-9.74,-0.91
650,-1.14,-8.57,4.06
660,-3.13,-7.99,5.47
670,-1.96,-8.23,5.86
680,-1.42,-8.76,4.51
690,-1.64,-8.88,3.97
700,-1.4,-8.94,3.5
710,-0.39,-8.82,2.63
720,-0.36,-8.59,2.18
730,-0.37,-8.5,2.89
740,-1.56,-8.33,5.3
750,-2.35,-8.76,7.28
760,-1.87,-7.97,5.4
770,-2.02,-7.98,4.33
780,-1.76,-8.53,4.1
790,-2.04,-9.01,4.69
800,-1.53,-8.83,5.1
810,-0.74,-8.49,6.22
820,-0.06,-8.27,7.34
830,-0.16,-7.94,7.33
840,-0.91,-7.84,6.57
850,-1.46,-8.14,6.27
860,-1.39,-8.34,6.25
870,-0.42,-8.34,6.19
880,0.29,-8.03,6.42
890,1.27,-7.85,6.44
900,1.92,-7.86,6.1
910,2.13,-8.08,5.69
920,1.99,-8.2,4.86
930,1.75,-8.59,4.3
940,1.4,-8.79,4.23
950,1.32,-9.16,4.81
960,0.91,-9.5,5.37
970,0.97,-9.82,5.13
980,2.26,-10.01,5.37
990,3.58,-10.29,5.7
1000,3.81,-10.34,6.2
