timestamp,x,y,z
0,-1.29,0.82,9.88
10,-1.26,0.95,10.09
20,-1.28,0.98,10.09
30,-1.36,0.96,9.93
40,-1.38,0.86,9.68
50,-1.41,0.8,9.37
60,-1.46,0.71,9.19
70,-1.5,0.64,9.09
80,-1.49,0.7,9.15
90,-1.53,0.77,9.33
100,-1.55,0.85,9.4
110,-1.66,0.97,9.41
120,-1.83,1.14,9.43
130,-1.86,1.23,9.67
140,-1.73,1.19,9.8
150,-1.64,1.12,9.75
160,-1.56,1.03,9.68
170,-1.5,0.92,9.69
180,-1.46,0.81,9.72
190,-1.43,0.76,9.76
200,-1.4,0.85,9.83
210,-1.27,0.79,9.86
220,-1.19,0.7,9.85
230,-1.23,0.68,9.76
240,-1.2,0.57,9.83
250,-1.06,0.32,9.98
260,-0.92,0.03,9.91
270,-0.85,-0.12,9.69
280,-0.82,-0.25,9.36
290,-0.78,-0.26,9.15
300,-0.71,-0.15,9.24
310,-0.67,0.03,9.58
320,-0.68,0.18,9.84
330,-0.93,0.4,10.04
340,-0.94,0.56,10.55
350,-0.87,0.59,10.95
360,-1.06,0.51,11.03
370,-1.14,0.47,10.98
380,-1.38,0.73,10.83
390,-1.68,0.93,10.5
400,-1.73,0.9,10.4
410,-1.7,0.85,10.42
420,-1.54,0.75,10.7
430,-1.35,0.59,10.85
440,-1.28,0.48,10.78
450,-1.39,0.48,10.6
460,-1.71,0.47,10.38
470,-1.84,0.33,10.22
480,-1.89,0.13,10.07
490,-1.91,-0.04,9.9
500,-1.93,-0.14,9.69
510,-1.99,-0.22,9.46
520,-1.93,-0.27,9.28
530,-1.95,-0.32,9.05
540,-2.02,-0.32,8.91
550,-2.17,-0.23,8.66
560,-2.37,-0.05,8.52
570,-2.53,0.1,8.69
580,-2.53,0.17,8.98
590,-2.48,0.1,9.36
600,-2.36,0.02,9.71
610,-2.28,0.12,9.76
620,-2.37,0.3,9.52
630,-2.54,0.45,9.25
640,-2.76,0.55,9.01
650,-2.97,0.62,8.8
660,-3.08,0.58,8.76
670,-2.99,0.5,8.91
680,-2.53,0.49,9.9
690,-2.77,0.8,11.03
700,-3.14,0.42,8.58
710,-3.46,0.03,7.87
720,-2.86,-0.24,8.47
730,-2.05,-0.23,9.47
740,-1.61,-0.15,10.17
750,-1.67,-0.12,9.8
760,-2.19,0.02,9.79
770,-2.43,-0.06,9.97
780,-2.42,-0.38,9.91
790,-1.66,-0.81,9.33
800,-1.3,-0.93,9.35
810,-1.43,-0.83,9.76
820,-1.42,-1.1,9.64
830,-1.24,-1.4,8.85
840,-1.32,-1.55,8.24
850,-1.49,-1.5,8.03
860,-1.57,-1.51,8.17
870,-1.5,-1.52,8.58
880,-1.55,-1.45,9.02
890,-1.58,-1.35,9.24
900,-1.61,-1.3,9.28
910,-1.54,-1.3,9.14
920,-1.39,-1.39,8.94
930,-1.01,-1.54,8.73
940,-0.71,-1.58,8.56
950,-0.69,-1.48,8.64
960,-0.88,-1.33,8.79
970,-1.16,-1.11,9.08
980,-1.39,-0.98,9.39
990,-1.38,-0.92,9.46
1000,-1.34,-0.91,9.37
