timestamp,x,y,z
0,-0.87,-1.35,9.61
10,-0.96,-1.31,9.65
20,-1.1,-1.25,9.7
30,-1.12,-1.26,9.68
40,-1.08,-1.25,9.6
50,-1.08,-1.26,9.51
60,-1.09,-1.26,9.4
70,-1.14,-1.26,9.39
80,-1.14,-1.26,9.46
90,-1.11,-1.27,9.52
100,-1.02,-1.27,9.56
110,-0.94,-1.27,9.63
120,-0.87,-1.27,9.7
130,-0.84,-1.28,9.67
140,-0.84,-1.31,9.65
150,-0.82,-1.32,9.62
160,-0.77,-1.34,9.63
170,-0.7,-1.41,9.6
180,-0.6,-1.44,9.51
190,-0.51,-1.47,9.48
200,-0.45,-1.51,9.46
210,-0.42,-1.52,9.51
220,-0.43,-1.55,9.65
230,-0.51,-1.52,9.75
240,-0.63,-1.5,9.75
250,-0.76,-1.51,9.63
260,-0.79,-1.5,9.52
270,-0.79,-1.51,9.45
280,-0.85,-1.48,9.45
290,-1.06,-1.45,9.45
300,-1.17,-1.41,9.5
310,-1.13,-1.36,9.55
320,-1.07,-1.35,9.68
330,-0.98,-1.36,9.65
340,-0.96,-1.39,9.55
350,-1.06,-1.4,9.38
360,-1.2,-1.39,9.35
370,-1.23,-1.37,9.35
380,-1.18,-1.37,9.44
390,-1.12,-1.36,9.62
400,-1.07,-1.34,9.83
410,-0.98,-1.36,9.89
420,-0.91,-1.4,9.77
430,-0.93,-1.39,9.61
440,-0.99,-1.38,9.41
450,-1.06,-1.4,9.21
460,-1.0,-1.43,9.23
470,-0.92,-1.43,9.45
480,-0.92,-1.41,9.62
490,-0.96,-1.4,9.67
500,-0.91,-1.41,9.6
510,-0.81,-1.44,9.5
520,-0.78,-1.44,9.45
530,-0.83,-1.41,9.52
540,-0.92,-1.39,9.68
550,-0.91,-1.4,9.79
560,-0.8,-1.43,9.79
570,-0.74,-1.43,9.72
580,-0.85,-1.44,9.56
590,-0.87,-1.47,9.42
600,-0.79,-1.46,9.32
610,-0.68,-1.49,9.39
620,-0.55,-1.48,9.5
630,-0.51,-1.45,9.62
640,-0.59,-1.45,9.74
650,-0.76,-1.43,9.76
660,-0.91,-1.4,9.68
670,-1.02,-1.4,9.5
680,-1.02,-1.4,9.37
690,-0.98,-1.44,9.35
700,-0.93,-1.45,9.47
710,-0.83,-1.46,9.67
720,-0.76,-1.46,9.78
730,-0.76,-1.45,9.81
740,-0.87,-1.41,9.74
750,-0.93,-1.43,9.61
760,-0.93,-1.45,9.54
770,-0.91,-1.48,9.46
780,-0.91,-1.48,9.44
790,-0.89,-1.49,9.47
800,-0.85,-1.46,9.55
810,-0.81,-1.45,9.69
820,-0.83,-1.42,9.78
830,-0.86,-1.43,9.77
840,-0.85,-1.43,9.71
850,-0.9,-1.43,9.61
860,-0.97,-1.45,9.43
870,-0.93,-1.47,9.33
880,-0.87,-1.48,9.36
890,-0.85,-1.47,9.5
900,-0.89,-1.47,9.64
910,-0.92,-1.48,9.55
920,-0.96,-1.45,9.37
930,-1.0,-1.44,9.3
940,-0.98,-1.47,9.25
950,-0.97,-1.47,9.26
960,-0.91,-1.5,9.3
970,-0.85,-1.52,9.41
980,-0.82,-1.5,9.59
990,-0.84,-1.49,9.75
1000,-0.89,-1.5,9.8
