timestamp,x,y,z
0,-0.59,-1.1,9.33
10,-0.57,-1.08,9.44
20,-0.56,-1.04,9.61
30,-0.49,-1.08,9.76
40,-0.38,-1.12,9.82
50,-0.35,-1.16,9.75
60,-0.4,-1.21,9.61
70,-0.47,-1.21,9.47
80,-0.48,-1.24,9.42
90,-0.47,-1.24,9.56
100,-0.44,-1.25,9.7
110,-0.39,-1.26,9.73
120,-0.37,-1.24,9.67
130,-0.56,-1.23,9.55
140,-0.74,-1.21,9.43
150,-0.79,-1.17,9.43
160,-0.76,-1.14,9.57
170,-0.66,-1.16,9.72
180,-0.55,-1.13,9.92
190,-0.53,-1.14,10.05
200,-0.64,-1.15,9.94
210,-0.71,-1.16,9.72
220,-0.85,-1.11,9.56
230,-0.91,-1.11,9.5
240,-0.83,-1.09,9.65
250,-0.72,-1.07,9.76
260,-0.65,-1.08,9.79
270,-0.67,-1.08,9.75
280,-0.68,-1.06,9.65
290,-0.61,-1.12,9.46
300,-0.59,-1.15,9.33
310,-0.62,-1.19,9.27
320,-0.61,-1.2,9.29
330,-0.57,-1.21,9.41
340,-0.57,-1.22,9.59
350,-0.51,-1.2,9.79
360,-0.39,-1.24,9.92
370,-0.3,-1.25,9.9
380,-0.28,-1.28,9.7
390,-0.35,-1.27,9.4
400,-0.44,-1.28,9.17
410,-0.57,-1.28,9.08
420,-0.63,-1.26,9.26
430,-0.65,-1.22,9.6
440,-0.62,-1.2,9.83
450,-0.53,-1.22,9.98
460,-0.51,-1.22,10.01
470,-0.59,-1.19,9.87
480,-0.81,-1.16,9.76
490,-0.97,-1.12,9.66
500,-0.97,-1.12,9.57
510,-0.86,-1.15,9.59
520,-0.77,-1.15,9.75
530,-0.61,-1.12,9.88
540,-0.49,-1.13,9.89
550,-0.41,-1.15,9.75
560,-0.41,-1.19,9.57
570,-0.48,-1.17,9.46
580,-0.61,-1.17,9.49
590,-0.68,-1.13,9.54
600,-0.65,-1.17,9.64
610,-0.64,-1.14,9.78
620,-0.7,-1.13,9.94
630,-0.59,-1.16,9.94
640,-0.37,-1.19,9.81
650,-0.39,-1.24,9.67
660,-0.51,-1.26,9.56
670,-0.61,-1.26,9.48
680,-0.65,-1.3,9.46
690,-0.56,-1.31,9.43
700,-0.53,-1.28,9.55
710,-0.56,-1.26,9.7
720,-0.61,-1.21,9.79
730,-0.67,-1.15,9.8
740,-0.75,-1.2,9.69
750,-0.69,-1.17,9.58
760,-0.67,-1.18,9.38
770,-0.75,-1.21,9.23
780,-0.78,-1.22,9.23
790,-0.66,-1.22,9.37
800,-0.51,-1.24,9.57
810,-0.51,-1.26,9.73
820,-0.58,-1.24,9.79
830,-0.79,-1.19,9.68
840,-1.03,-1.15,9.57
850,-1.03,-1.17,9.47
860,-0.94,-1.18,9.5
870,-0.77,-1.19,9.57
880,-0.63,-1.24,9.61
890,-0.54,-1.27,9.59
900,-0.55,-1.26,9.66
910,-0.68,-1.27,9.67
920,-0.75,-1.25,9.68
930,-0.75,-1.2,9.68
940,-0.64,-1.25,9.62
950,-0.45,-1.3,9.6
960,-0.36,-1.31,9.56
970,-0.5,-1.32,9.55
980,-0.64,-1.28,9.58
990,-0.71,-1.22,9.58
1000,-0.79,-1.22,9.62
