timestamp,x,y,z
0,-1.04,-1.13,9.51
10,-0.88,-1.12,9.74
20,-0.52,-1.14,9.99
30,-0.31,-1.15,10.16
40,-0.28,-1.19,10.07
50,-0.35,-1.24,9.8
60,-0.54,-1.3,9.47
70,-0.66,-1.35,9.25
80,-0.64,-1.36,9.22
90,-0.44,-1.39,9.39
100,-0.27,-1.36,9.65
110,-0.23,-1.33,9.88
120,-0.3,-1.31,9.91
130,-0.37,-1.3,9.77
140,-0.52,-1.29,9.54
150,-0.68,-1.29,9.32
160,-0.85,-1.29,9.28
170,-0.93,-1.23,9.41
180,-0.97,-1.21,9.64
190,-0.93,-1.17,9.89
200,-0.9,-1.15,10.0
210,-0.89,-1.12,9.97
220,-0.85,-1.14,9.87
230,-0.73,-1.21,9.71
240,-0.67,-1.24,9.59
250,-0.6,-1.25,9.44
260,-0.52,-1.3,9.36
270,-0.5,-1.34,9.38
280,-0.58,-1.29,9.49
290,-0.53,-1.31,9.67
300,-0.38,-1.3,9.75
310,-0.3,-1.35,9.58
320,-0.37,-1.34,9.3
330,-0.52,-1.36,9.16
340,-0.61,-1.33,9.29
350,-0.69,-1.3,9.52
360,-0.78,-1.31,9.74
370,-0.74,-1.31,9.86
380,-0.56,-1.36,9.91
390,-0.44,-1.42,10.03
400,-0.4,-1.46,10.15
410,-0.54,-1.45,10.18
420,-0.88,-1.42,10.28
430,-1.06,-1.43,10.35
440,-0.73,-1.51,10.33
450,-0.34,-1.48,10.2
460,-0.28,-1.5,10.02
470,-0.39,-1.49,10.01
480,-0.24,-1.47,10.05
490,-0.09,-1.51,9.92
500,-0.17,-1.49,9.68
510,-0.36,-1.55,9.39
520,-0.62,-1.46,9.23
530,-0.87,-1.41,9.24
540,-0.76,-1.48,9.44
550,-0.37,-1.46,9.75
560,-0.23,-1.46,10.07
570,-0.28,-1.43,10.22
580,-0.09,-1.44,9.91
590,-0.17,-1.45,9.47
600,-0.39,-1.51,9.13
610,-0.49,-1.6,9.03
620,-0.34,-1.6,9.08
630,-0.51,-1.59,9.42
640,-0.78,-1.52,9.65
650,-1.06,-1.53,9.57
660,-1.05,-1.64,9.73
670,-0.62,-1.58,10.21
680,-0.32,-1.37,10.58
690,-0.7,-1.47,10.25
700,-0.78,-1.52,9.7
710,-0.65,-1.41,9.44
720,-0.62,-1.39,9.3
730,-0.4,-1.36,8.95
740,-0.22,-1.42,8.54
750,-0.05,-1.47,8.33
760,0.23,-1.54,8.38
770,0.58,-1.56,8.45
780,0.52,-1.55,8.35
790,-0.16,-1.46,8.29
800,-0.99,-1.32,8.36
810,-1.41,-1.24,8.58
820,-1.08,-1.25,8.93
830,-0.47,-1.31,9.39
840,0.13,-1.26,9.92
850,0.24,-1.21,9.81
860,0.18,-1.31,9.64
870,0.21,-1.18,10.01
880,0.4,-1.26,9.94
890,0.37,-1.09,9.59
900,-0.05,-1.09,9.33
910,0.01,-1.03,9.12
920,0.24,-1.22,8.89
930,0.03,-1.22,8.67
940,-0.62,-1.31,8.3
950,-1.11,-1.27,8.29
960,-1.64,-1.19,8.84
970,-1.62,-1.13,9.71
980,-1.19,-0.96,10.57
990,-0.98,-1.07,11.0
1000,-0.97,-1.1,11.51
