timestamp,x,y,z
0,-1.4,-1.2,9.72
10,-1.46,-1.17,9.8
20,-1.48,-1.14,9.75
30,-1.51,-1.16,9.7
40,-1.6,-1.11,9.65
50,-1.6,-1.11,9.56
60,-1.46,-1.15,9.53
70,-1.34,-1.17,9.52
80,-1.43,-1.15,9.62
90,-1.53,-1.14,9.62
100,-1.54,-1.17,9.59
110,-1.4,-1.17,9.48
120,-1.13,-1.26,9.34
130,-0.93,-1.29,9.27
140,-0.88,-1.27,9.33
150,-1.18,-1.24,9.44
160,-1.5,-1.21,9.45
170,-1.48,-1.2,9.46
180,-1.32,-1.22,9.48
190,-1.17,-1.22,9.55
200,-1.1,-1.24,9.6
210,-1.07,-1.23,9.62
220,-1.19,-1.2,9.56
230,-1.4,-1.2,9.38
240,-1.63,-1.21,9.17
250,-1.76,-1.17,9.21
260,-1.74,-1.19,9.32
270,-1.57,-1.17,9.54
280,-1.37,-1.2,9.73
290,-1.25,-1.23,9.68
300,-1.37,-1.24,9.53
310,-1.52,-1.25,9.38
320,-1.54,-1.24,9.31
330,-1.53,-1.23,9.39
340,-1.4,-1.22,9.45
350,-1.28,-1.27,9.58
360,-1.22,-1.31,9.63
370,-1.18,-1.3,9.7
380,-1.06,-1.31,9.72
390,-0.98,-1.31,9.64
400,-0.94,-1.33,9.49
410,-0.97,-1.36,9.28
420,-1.05,-1.36,9.23
430,-1.19,-1.32,9.22
440,-1.27,-1.31,9.26
450,-1.26,-1.33,9.32
460,-1.17,-1.3,9.49
470,-1.2,-1.3,9.75
480,-1.38,-1.23,9.96
490,-1.57,-1.21,9.93
500,-1.67,-1.19,9.74
510,-1.6,-1.21,9.58
520,-1.47,-1.23,9.53
530,-1.32,-1.23,9.5
540,-1.21,-1.28,9.4
550,-1.22,-1.27,9.31
560,-1.33,-1.26,9.38
570,-1.28,-1.25,9.56
580,-1.14,-1.24,9.78
590,-1.09,-1.26,9.82
600,-1.1,-1.26,9.62
610,-1.16,-1.32,9.31
620,-1.22,-1.3,9.08
630,-1.39,-1.29,9.04
640,-1.53,-1.28,9.22
650,-1.5,-1.24,9.57
660,-1.44,-1.22,9.78
670,-1.42,-1.22,9.87
680,-1.39,-1.24,9.79
690,-1.38,-1.26,9.68
700,-1.38,-1.25,9.48
710,-1.45,-1.28,9.32
720,-1.49,-1.29,9.27
730,-1.47,-1.27,9.35
740,-1.44,-1.26,9.5
750,-1.38,-1.24,9.64
760,-1.31,-1.21,9.62
770,-1.28,-1.26,9.53
780,-1.31,-1.25,9.47
790,-1.39,-1.24,9.38
800,-1.43,-1.25,9.33
810,-1.38,-1.27,9.34
820,-1.29,-1.27,9.4
830,-1.3,-1.27,9.46
840,-1.4,-1.24,9.46
850,-1.47,-1.25,9.33
860,-1.49,-1.24,9.3
870,-1.52,-1.24,9.37
880,-1.53,-1.21,9.52
890,-1.63,-1.15,9.7
900,-1.71,-1.15,9.79
910,-1.59,-1.18,9.71
920,-1.37,-1.25,9.53
930,-1.24,-1.27,9.36
940,-1.33,-1.27,9.23
950,-1.39,-1.33,9.1
960,-1.38,-1.33,9.0
970,-1.41,-1.31,9.08
980,-1.54,-1.29,9.28
990,-1.61,-1.26,9.55
1000,-1.61,-1.24,9.71
