timestamp,x,y,z
0,-0.42,0.16,10.06
10,-0.45,0.24,10.07
20,-0.49,0.3,9.9
30,-0.53,0.28,9.67
40,-0.56,0.23,9.51
50,-0.6,0.17,9.4
60,-0.66,0.11,9.25
70,-0.72,0.12,9.16
80,-0.75,0.17,9.19
90,-0.7,0.18,9.35
100,-0.58,0.16,9.57
110,-0.54,0.23,9.76
120,-0.59,0.34,9.75
130,-0.63,0.43,9.79
140,-0.7,0.47,9.8
150,-0.79,0.51,9.74
160,-0.75,0.48,9.72
170,-0.66,0.38,9.73
180,-0.57,0.29,9.74
190,-0.53,0.28,9.71
200,-0.45,0.22,9.7
210,-0.42,0.14,9.72
220,-0.38,0.13,9.64
230,-0.38,0.13,9.55
240,-0.38,0.19,9.57
250,-0.42,0.23,9.63
260,-0.48,0.31,9.72
270,-0.5,0.39,9.8
280,-0.56,0.48,9.9
290,-0.57,0.5,9.93
300,-0.56,0.48,9.91
310,-0.55,0.49,9.89
320,-0.56,0.5,9.84
330,-0.53,0.5,9.83
340,-0.52,0.51,9.79
350,-0.55,0.54,9.73
360,-0.54,0.57,9.74
370,-0.52,0.6,9.76
380,-0.53,0.61,9.78
390,-0.55,0.66,9.77
400,-0.59,0.63,9.79
410,-0.58,0.59,9.82
420,-0.57,0.58,9.79
430,-0.54,0.6,9.76
440,-0.57,0.64,9.73
450,-0.58,0.65,9.69
460,-0.61,0.66,9.75
470,-0.62,0.66,9.84
480,-0.71,0.74,9.79
490,-0.87,0.81,9.72
500,-0.9,0.83,9.77
510,-0.86,0.8,9.89
520,-0.83,0.79,9.94
530,-0.76,0.74,9.86
540,-0.75,0.84,9.83
550,-0.69,0.72,9.8
560,-0.72,0.7,9.86
570,-0.67,0.65,9.95
580,-0.56,0.55,9.93
590,-0.54,0.47,9.9
600,-0.6,0.43,9.82
610,-0.65,0.4,9.8
620,-0.59,0.31,9.83
630,-0.63,0.25,9.79
640,-0.72,0.28,9.77
650,-0.83,0.29,9.72
660,-0.86,0.32,9.72
670,-0.62,0.24,9.98
680,-0.43,0.08,9.96
690,-0.5,-0.01,9.84
700,-0.55,-0.13,9.57
710,-0.63,-0.16,9.66
720,-0.66,-0.17,9.76
730,-0.64,-0.23,9.77
740,-0.69,-0.29,9.67
750,-0.69,-0.39,9.56
760,-0.74,-0.52,9.33
770,-0.71,-0.63,9.19
780,-0.48,-0.82,9.42
790,-0.36,-1.08,9.94
800,-0.23,-1.23,10.65
810,-0.14,-1.3,10.36
820,-0.55,-1.03,9.82
830,0.13,-1.24,9.52
840,-0.12,-1.11,9.79
850,-0.54,-0.83,10.23
860,-0.47,-0.87,10.2
870,-0.6,-0.91,9.76
880,-0.75,-0.9,9.35
890,-0.93,-0.87,8.88
900,-1.8,-0.5,7.91
910,-1.53,-0.81,8.02
920,-0.79,-1.18,9.02
930,-1.12,-0.88,10.08
940,-0.76,-0.9,10.1
950,-0.74,-0.7,9.66
960,-0.59,-0.59,10.1
970,-0.12,-0.62,10.82
980,-0.15,-1.02,11.17
990,-0.29,-0.8,10.62
1000,0.04,-1.1,10.16
