timestamp,x,y,z
0,-1.44,0.84,9.66
10,-1.55,0.93,9.64
20,-1.64,1.02,9.58
30,-1.71,1.0,9.43
40,-1.71,0.98,9.3
50,-1.66,0.85,9.22
60,-1.58,0.73,9.08
70,-1.63,0.69,8.94
80,-1.63,0.76,8.96
90,-1.69,0.84,9.09
100,-1.78,0.95,9.23
110,-1.91,1.08,9.31
120,-2.01,1.17,9.42
130,-2.05,1.17,9.51
140,-2.02,1.13,9.52
150,-2.02,1.13,9.43
160,-2.05,1.13,9.35
170,-2.0,1.11,9.35
180,-1.95,1.1,9.5
190,-1.91,1.04,9.63
200,-1.9,1.03,9.68
210,-1.89,1.0,9.72
220,-1.78,0.95,9.79
230,-1.68,0.91,9.82
240,-1.64,0.89,9.78
250,-1.57,0.88,9.76
260,-1.56,0.85,9.73
270,-1.51,0.81,9.66
280,-1.55,0.77,9.54
290,-1.58,0.76,9.45
300,-1.64,0.73,9.38
310,-1.69,0.74,9.32
320,-1.73,0.78,9.41
330,-1.68,0.76,9.51
340,-1.7,0.77,9.62
350,-1.71,0.85,9.64
360,-1.75,0.94,9.62
370,-1.78,0.93,9.57
380,-1.75,0.86,9.53
390,-1.73,0.82,9.46
400,-1.66,0.8,9.41
410,-1.61,0.76,9.44
420,-1.56,0.76,9.49
430,-1.56,0.8,9.62
440,-1.59,0.85,9.67
450,-1.64,0.93,9.61
460,-1.69,1.01,9.57
470,-1.73,1.01,9.59
480,-1.74,1.0,9.5
490,-1.74,0.97,9.45
500,-1.62,0.96,9.55
510,-1.57,0.86,9.51
520,-1.55,0.82,9.5
530,-1.58,0.86,9.48
540,-1.6,0.83,9.49
550,-1.57,0.88,9.52
560,-1.62,0.93,9.52
570,-1.61,0.9,9.45
580,-1.65,0.87,9.37
590,-1.64,0.88,9.39
600,-1.59,0.8,9.5
610,-1.55,0.69,9.53
620,-1.56,0.71,9.52
630,-1.59,0.74,9.45
640,-1.61,0.68,9.36
650,-1.56,0.56,9.37
660,-1.46,0.45,9.37
670,-1.4,0.38,9.35
680,-1.38,0.37,9.38
690,-1.4,0.36,9.44
700,-1.39,0.3,9.52
710,-1.37,0.25,9.6
720,-1.39,0.24,9.57
730,-1.38,0.17,9.56
740,-1.42,0.15,9.53
750,-1.5,0.17,9.43
760,-1.51,0.18,9.39
770,-1.23,0.05,9.27
780,-1.06,-0.1,9.04
790,-1.15,0.02,9.19
800,-1.41,0.32,9.5
810,-1.58,0.46,9.98
820,-1.63,0.58,10.09
830,-1.65,0.76,10.0
840,-1.83,0.94,9.85
850,-1.87,1.0,9.71
860,-2.02,0.96,9.52
870,-1.9,0.89,9.65
880,-1.16,0.28,9.87
890,-1.45,0.68,9.59
900,-1.8,0.79,9.45
910,-1.52,0.58,10.07
920,-1.73,0.86,9.89
930,-1.75,0.71,9.61
940,-1.81,0.74,9.06
950,-2.31,1.22,9.16
960,-1.66,0.96,9.43
970,-1.49,0.69,9.61
980,-1.45,0.57,9.7
990,-1.7,0.66,9.54
1000,-1.81,0.6,9.53
