timestamp,x,y,z
0,-1.07,-1.06,9.83
10,-0.96,-1.09,9.76
20,-0.8,-1.12,9.71
30,-0.69,-1.13,9.63
40,-0.6,-1.12,9.67
50,-0.45,-1.14,9.81
60,-0.36,-1.15,9.88
70,-0.36,-1.13,9.91
80,-0.39,-1.16,9.81
90,-0.3,-1.23,9.67
100,-0.2,-1.26,9.48
110,-0.27,-1.26,9.47
120,-0.4,-1.27,9.49
130,-0.4,-1.28,9.58
140,-0.29,-1.27,9.63
150,-0.16,-1.32,9.62
160,-0.13,-1.34,9.59
170,-0.27,-1.31,9.59
180,-0.49,-1.21,9.61
190,-0.72,-1.19,9.64
200,-0.73,-1.16,9.64
210,-0.62,-1.15,9.7
220,-0.57,-1.14,9.72
230,-0.6,-1.14,9.68
240,-0.74,-1.12,9.58
250,-0.91,-1.12,9.45
260,-1.07,-1.12,9.3
270,-1.08,-1.1,9.24
280,-1.02,-1.1,9.31
290,-0.94,-1.08,9.43
300,-0.85,-1.07,9.5
310,-0.84,-1.16,9.52
320,-0.85,-1.14,9.42
330,-1.02,-1.12,9.35
340,-1.17,-1.11,9.38
350,-1.21,-1.07,9.49
360,-1.21,-1.06,9.75
370,-1.16,-1.02,9.97
380,-1.08,-1.06,10.04
390,-0.96,-1.11,9.93
400,-0.84,-1.16,9.76
410,-0.76,-1.21,9.6
420,-0.72,-1.24,9.45
430,-0.72,-1.3,9.35
440,-0.71,-1.27,9.36
450,-0.68,-1.27,9.48
460,-0.64,-1.25,9.65
470,-0.56,-1.23,9.78
480,-0.54,-1.22,9.93
490,-0.54,-1.2,9.97
500,-0.58,-1.16,9.87
510,-0.66,-1.13,9.74
520,-0.63,-1.15,9.61
530,-0.51,-1.15,9.5
540,-0.47,-1.14,9.47
550,-0.58,-1.12,9.48
560,-0.64,-1.07,9.57
570,-0.56,-1.06,9.73
580,-0.46,-1.07,9.88
590,-0.38,-1.07,9.85
600,-0.35,-1.12,9.69
610,-0.39,-1.15,9.47
620,-0.44,-1.15,9.3
630,-0.63,-1.16,9.28
640,-0.83,-1.13,9.38
650,-0.91,-1.12,9.53
660,-0.79,-1.14,9.7
670,-0.56,-1.15,9.87
680,-0.44,-1.18,9.94
690,-0.36,-1.27,9.89
700,-0.41,-1.3,9.71
710,-0.59,-1.28,9.5
720,-0.74,-1.36,9.3
730,-0.8,-1.28,9.39
740,-0.7,-1.31,9.54
750,-0.54,-1.26,9.74
760,-0.53,-1.24,9.85
770,-0.6,-1.21,9.84
780,-0.67,-1.2,9.73
790,-0.72,-1.2,9.56
800,-0.79,-1.2,9.45
810,-0.82,-1.19,9.39
820,-0.77,-1.19,9.46
830,-0.71,-1.19,9.61
840,-0.76,-1.16,9.74
850,-0.83,-1.12,9.8
860,-0.83,-1.12,9.76
870,-0.81,-1.11,9.67
880,-0.76,-1.17,9.51
890,-0.64,-1.2,9.46
900,-0.56,-1.22,9.49
910,-0.56,-1.24,9.48
920,-0.64,-1.23,9.41
930,-0.75,-1.24,9.45
940,-0.79,-1.24,9.57
950,-0.78,-1.24,9.76
960,-0.68,-1.25,9.92
970,-0.6,-1.25,9.95
980,-0.64,-1.27,9.81
990,-0.77,-1.3,9.54
1000,-0.85,-1.31,9.34
