timestamp,x,y,z
0,-1.33,0.79,9.52
10,-1.38,0.81,9.53
20,-1.44,0.82,9.5
30,-1.5,0.83,9.36
40,-1.54,0.8,9.26
50,-1.55,0.74,9.15
60,-1.53,0.7,9.09
70,-1.55,0.68,9.0
80,-1.56,0.62,8.98
90,-1.55,0.61,9.04
100,-1.54,0.63,9.19
110,-1.57,0.68,9.36
120,-1.65,0.75,9.54
130,-1.77,0.82,9.65
140,-1.89,0.88,9.63
150,-1.93,0.91,9.6
160,-1.93,0.85,9.54
170,-1.89,0.78,9.54
180,-1.85,0.67,9.49
190,-1.81,0.56,9.44
200,-1.76,0.52,9.41
210,-1.71,0.49,9.54
220,-1.67,0.5,9.7
230,-1.71,0.52,9.82
240,-1.77,0.55,9.82
250,-1.79,0.54,9.82
260,-1.7,0.45,9.81
270,-1.62,0.35,9.72
280,-1.59,0.29,9.61
290,-1.57,0.24,9.39
300,-1.54,0.24,9.35
310,-1.5,0.23,9.38
320,-1.47,0.24,9.39
330,-1.55,0.31,9.43
340,-1.6,0.41,9.52
350,-1.67,0.44,9.62
360,-1.72,0.45,9.58
370,-1.74,0.48,9.51
380,-1.77,0.45,9.48
390,-1.72,0.42,9.51
400,-1.68,0.35,9.49
410,-1.62,0.33,9.48
420,-1.51,0.29,9.51
430,-1.41,0.28,9.58
440,-1.33,0.29,9.66
450,-1.32,0.35,9.71
460,-1.29,0.39,9.71
470,-1.3,0.42,9.74
480,-1.34,0.47,9.83
490,-1.32,0.53,9.87
500,-1.36,0.58,9.89
510,-1.39,0.66,9.87
520,-1.4,0.75,9.9
530,-1.33,0.78,9.98
540,-1.28,0.76,10.04
550,-1.2,0.67,10.03
560,-2.52,1.59,7.92
570,-0.71,-0.53,5.94
580,-0.58,-0.09,8.33
590,-0.19,0.65,9.47
600,-0.73,1.27,9.97
610,-1.08,1.72,9.97
620,-0.93,1.65,10.19
630,-0.53,1.32,10.4
640,-0.53,1.6,11.58
650,-0.08,1.17,13.08
660,0.12,0.74,12.65
670,0.09,0.76,10.73
680,-0.95,0.95,8.78
690,-1.09,0.63,7.87
700,-0.91,0.48,8.22
710,-1.27,1.05,8.35
720,-1.4,1.29,8.77
730,-0.76,0.63,9.09
740,-0.37,0.38,8.9
750,-0.68,0.44,8.88
760,-1.17,0.59,9.32
770,-1.65,1.22,10.69
780,-2.6,1.98,11.38
790,-3.12,2.81,10.23
800,-3.06,2.09,9.75
810,-3.31,0.76,10.1
820,-1.24,0.05,9.41
830,0.42,-0.46,7.77
840,-0.13,-0.29,6.96
850,0.0,-0.28,8.69
860,-0.84,-0.18,9.79
870,-1.32,0.45,10.54
880,-1.41,0.64,11.46
890,-1.57,0.6,11.43
900,-1.78,0.43,10.79
910,-1.35,0.03,10.1
920,-1.3,-0.26,9.43
930,-1.62,-0.14,8.73
940,-1.36,0.04,7.6
950,-1.5,-0.23,8.58
960,-1.22,-0.14,9.37
970,-1.45,0.08,9.5
980,-1.5,0.17,9.93
990,-1.28,0.17,10.56
1000,-1.2,0.05,10.45
